27.40, 27.60, 0.10, 4.11
27.60, 27.80, 0.10, 4.06
27.80, 28.00, 0.10, 4.06
28.00, 28.20, 0.10, 4.06
28.20, 28.40, 0.10, 4.06
28.40, 28.60, 0.09, 3.60
28.60, 28.80, 0.00, 0.00
28.80, 29.00, 0.00, 0.00
29.00, 29.20, 0.09, 3.89
29.20, 29.40, 0.31, 13.0
29.40, 29.60, 0.10, 4.06
29.60, 29.80, 0.10, 4.11
29.80, 30.00, 0.10, 4.06
30.00, 30.20, 0.10, 4.06
30.20, 30.40, 0.10, 4.06
30.40, 30.60, 0.10, 4.11
30.60, 30.80, 0.10, 4.06
30.80, 31.00, 0.10, 4.06
31.00, 31.20, 0.10, 4.11
31.20, 31.40, 0.10, 4.11
31.40, 31.60, 0.10, 4.00
31.60, 31.80, 0.10, 4.17
31.80, 32.00, 0.10, 4.06
32.00, 32.20, 0.10, 4.06
32.20, 32.40, 0.10, 4.11
32.40, 32.60, 0.10, 4.06
32.60, 32.80, 0.10, 4.06
32.80, 33.00, 0.10, 4.06
33.00, 33.20, 0.10, 4.11
33.20, 33.40, 0.10, 4.06
33.40, 33.60, 0.10, 4.11
33.60, 33.80, 0.10, 4.06
33.80, 34.00, 0.10, 4.06
34.00, 34.20, 0.10, 4.06
34.20, 34.40, 0.10, 4.17
34.40, 34.60, 0.10, 4.11
34.60, 34.80, 0.10, 4.06
34.80, 35.00, 0.10, 4.00
35.00, 35.20, 0.10, 4.17
35.20, 35.40, 0.10, 4.06
35.40, 35.60, 0.10, 4.06
35.60, 35.80, 0.10, 4.06
35.80, 36.00, 0.10, 4.11
36.00, 36.20, 0.10, 4.11
36.20, 36.40, 0.10, 4.06
36.40, 36.60, 0.10, 4.11
36.60, 36.80, 0.10, 4.06
36.80, 37.00, 0.10, 4.11
37.00, 37.20, 0.10, 4.06
37.20, 37.40, 0.10, 4.00
37.40, 37.60, 0.10, 4.11
37.60, 37.80, 0.10, 4.06
37.80, 38.00, 0.10, 4.11
38.00, 38.20, 0.10, 4.06
38.20, 38.40, 0.10, 4.11
38.40, 38.60, 0.05, 1.97
38.60, 38.80, 0.00, 0.00
38.80, 39.00, 0.00, 0.00
39.00, 39.20, 0.11, 4.79
39.20, 39.40, 0.32, 13.6
39.40, 39.60, 0.10, 4.11
39.60, 39.80, 0.10, 4.06
39.80, 40.00, 0.10, 4.11
40.00, 40.20, 0.10, 4.00
40.20, 40.40, 0.10, 4.11
40.40, 40.60, 0.10, 4.11
40.60, 40.80, 0.10, 4.06
40.80, 41.00, 0.10, 4.06
41.00, 41.20, 0.10, 4.11
41.20, 41.40, 0.10, 4.06
41.40, 41.60, 0.10, 4.11
41.60, 41.80, 0.10, 4.00
41.80, 42.00, 0.10, 4.11
42.00, 42.20, 0.10, 4.11
42.20, 42.40, 0.10, 4.06
42.40, 42.60, 0.10, 4.06
42.60, 42.80, 0.10, 4.06
42.80, 43.00, 0.07, 2.93
43.00, 43.20, 0.00, 0.00
43.20, 43.40, 0.00, 0.00
43.40, 43.60, 0.32, 13.5
